Bug Type,Category,Priority,Rank,Class,Source File,Line
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.AddItemController,AddItemController.java,19
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.AddItemController,AddItemController.java,18
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.AdminController,AdminController.java,22
CT_CONSTRUCTOR_THROW,BAD_PRACTICE,2,16,controller.CashierController,CashierController.java,36
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.CashierController,CashierController.java,121
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.CashierController,CashierController.java,129
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.CashierController,CashierController.java,125
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CashierController,CashierController.java,31
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CashierController,CashierController.java,30
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CreateBillController,CreateBillController.java,32
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CreateBillController,CreateBillController.java,30
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CreateBillController,CreateBillController.java,31
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CreateBillController,CreateBillController.java,28
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.CreateBillController,CreateBillController.java,29
DM_DEFAULT_ENCODING,I18N,1,19,controller.DailyBillsController,DailyBillsController.java,98
DM_DEFAULT_ENCODING,I18N,1,19,controller.DailyBillsController,DailyBillsController.java,36
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.DailyBillsController,DailyBillsController.java,19
SS_SHOULD_BE_STATIC,PERFORMANCE,2,18,controller.DailyBillsController,DailyBillsController.java,14
VA_FORMAT_STRING_USES_NEWLINE,BAD_PRACTICE,2,20,controller.DailyBillsController,DailyBillsController.java,146
DMI_HARDCODED_ABSOLUTE_FILENAME,STYLE,2,17,controller.GenerateReportController,GenerateReportController.java,45
DM_DEFAULT_ENCODING,I18N,1,19,controller.GenerateReportController,GenerateReportController.java,53
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.GenerateReportController,GenerateReportController.java,20
DLS_DEAD_LOCAL_STORE,STYLE,2,17,controller.LoginController,LoginController.java,48
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.LoginController,LoginController.java,99
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.LoginController,LoginController.java,28
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,STYLE,2,17,controller.LoginController,LoginController.java,69
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.ManagerController,ManagerController.java,135
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.ManagerController,ManagerController.java,131
EI_EXPOSE_REP,MALICIOUS_CODE,2,18,controller.ManagerController,ManagerController.java,127
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.ManagerController,ManagerController.java,29
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.ManagerController,ManagerController.java,28
URF_UNREAD_FIELD,PERFORMANCE,2,18,controller.ManagerController,ManagerController.java,31
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.ModifyEmployeeController,ModifyEmployeeController.java,28
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,137
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,136
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,135
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,183
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,182
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,181
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,155
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,154
ES_COMPARING_PARAMETER_STRING_WITH_EQ,BAD_PRACTICE,2,16,controller.ModifyEmployeeController,ModifyEmployeeController.java,153
DM_DEFAULT_ENCODING,I18N,1,19,controller.MonitorCashierPerformanceController,MonitorCashierPerformanceController.java,54
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.MonitorCashierPerformanceController,MonitorCashierPerformanceController.java,26
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.MonitorCashierPerformanceController,MonitorCashierPerformanceController.java,25
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.NavBarController,NavBarController.java,12
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.RegisterEmployeeController,RegisterEmployeeController.java,31
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.RestockItemController,RestockItemController.java,19
EI_EXPOSE_REP2,MALICIOUS_CODE,2,18,controller.RestockItemController,RestockItemController.java,18
